record_type,case,name,decoder_stage,model_output_list_index,internal_stage_index,encoder_skip_index,upsampling_order,is_final_output,head_type,observed_raw_patch_shape,aligned_patch_shape,upsample_factor_to_final,prompt,threshold,gt_voxels,gt_volume_mm3,pred_voxels,pred_volume_mm3,pred_gt_volume_ratio,dice,iou,precision,recall,cc_count,cc_volume_median_voxels,cc_volume_median_mm3,small_cc_count_fraction,small_cc_voxel_fraction,small_component_max_voxels,lhs,rhs,pairwise_dice,fp_overlap,fp_overlap_dice,fn_overlap,fn_overlap_dice,intersection_voxels,union_voxels,mean_probability,d25_intersection_voxels,d25_union_voxels,majority_vote_voxels,independent_tp_voxels,independent_fp_voxels,independent_fn_recovery,r1_voxels,r1_volume_mm3,r1_tp_voxels,r1_fp_voxels,extra_precision,fn_recovery,merge_added_tp_voxels,merge_added_fp_voxels,merge_dice,merge_recall,merge_precision,delta_dice,delta_recall,delta_precision
decoder1_extra,FNH_PA10,Decoder 1 extra R1,1,4,0,4,1,False,,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,1005753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7486041,9897047.145576775,2949,7483092,0.0003939331884503438,0.053128537614490066,2065,7480983,0.20335082366580076,0.9634075165572462,0.11367205129279008,-0.7414319286270601,0.0020531880093820343,-0.8151007565378784
pairwise,FNH_PA10,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 3,0.962916137605417,0.618818348469205,0.7645309296801276,0.594484705485801,0.7456762720150092,58737,94918,,,,,,,,,,,,,,,,,,,,,
pairwise,FNH_PA10,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 4,0.9550788786743843,0.5396882136828518,0.7010357147463595,0.5162683932999123,0.6809723075165313,54352,100710,,,,,,,,,,,,,,,,,,,,,
pairwise,FNH_PA10,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 5,0.9467405726962074,0.4645506924087739,0.63439346253658,0.3912486895105667,0.5624424913538725,45958,98930,,,,,,,,,,,,,,,,,,,,,
pairwise,FNH_PA10,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 4,0.9808748457003447,0.741930444020873,0.8518485299657381,0.77740646788085,0.8747649813694321,71232,96009,,,,,,,,,,,,,,,,,,,,,
pairwise,FNH_PA10,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 5,0.9664120267379187,0.5966312236973184,0.7473625904868623,0.5525621901791499,0.711806836047437,58693,98374,,,,,,,,,,,,,,,,,,,,,
pairwise,FNH_PA10,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 4,Decoder 5,0.9789575388038343,0.7315777972027973,0.8449840352360639,0.654267984703081,0.7910060410442065,66954,91520,,,,,,,,,,,,,,,,,,,,,
independent_vs_final,FNH_PA10,Decoder 2,2,,,3,2,False,,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3415,24780,0.0878614798806216,,,,,,,,,,,,,,
independent_vs_final,FNH_PA10,Decoder 3,3,,,2,3,False,,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,24224,0.05647319131419162,,,,,,,,,,,,,,
independent_vs_final,FNH_PA10,Decoder 4,4,,,1,4,False,,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2598,17370,0.06684161778326644,,,,,,,,,,,,,,
